oo,op,n,t
1,sub,55,2.1457672119140625e-06
0,add,56,2.1457672119140625e-06
1,add,56,3.0994415283203125e-06
0,sub,56,2.1457672119140625e-06
1,sub,56,3.0994415283203125e-06
0,add,57,1.6689300537109375e-06
1,add,57,3.0994415283203125e-06
0,sub,57,2.1457672119140625e-06
1,sub,57,3.814697265625e-06
0,add,58,1.9073486328125e-06
1,add,58,2.86102294921875e-06
0,sub,58,2.1457672119140625e-06
1,sub,58,3.0994415283203125e-06
0,add,59,2.1457672119140625e-06
1,add,59,3.0994415283203125e-06
0,sub,59,1.9073486328125e-06
1,sub,59,2.86102294921875e-06
0,add,60,1.9073486328125e-06
1,add,60,3.0994415283203125e-06
0,sub,60,1.9073486328125e-06
1,sub,60,2.86102294921875e-06
0,add,61,1.6689300537109375e-06
1,add,61,3.0994415283203125e-06
0,sub,61,2.1457672119140625e-06
1,sub,61,2.86102294921875e-06
0,add,62,2.86102294921875e-06
1,add,62,3.0994415283203125e-06
0,sub,62,2.1457672119140625e-06
1,sub,62,3.0994415283203125e-06
0,add,63,1.9073486328125e-06
1,add,63,3.0994415283203125e-06
0,sub,63,2.86102294921875e-06
1,sub,63,4.0531158447265625e-06
0,add,64,2.1457672119140625e-06
1,add,64,3.0994415283203125e-06
0,sub,64,2.1457672119140625e-06
1,sub,64,2.86102294921875e-06
0,add,65,1.6689300537109375e-06
1,add,65,3.0994415283203125e-06
0,sub,65,2.1457672119140625e-06
1,sub,65,2.86102294921875e-06
0,add,66,1.9073486328125e-06
1,add,66,3.0994415283203125e-06
0,sub,66,1.9073486328125e-06
1,sub,66,3.0994415283203125e-06
0,add,67,1.9073486328125e-06
1,add,67,3.0994415283203125e-06
0,sub,67,1.6689300537109375e-06
1,sub,67,4.291534423828125e-06
0,add,68,1.9073486328125e-06
1,add,68,2.86102294921875e-06
0,sub,68,1.9073486328125e-06
1,sub,68,3.0994415283203125e-06
0,add,69,2.86102294921875e-06
1,add,69,4.0531158447265625e-06
0,sub,69,3.0994415283203125e-06
